subject_code,subject_name,subject_description,units_lec,units_lab,prerequisite_1,prerequisite_2,prerequisite_3
GE111,Understanding the Self,,3,0,,,
GE112,Readings in Philippine History,,3,0,,,
GE113,Ethics,,3,0,,,
NSTP1,NSTP1,,3,0,,,
PE1,Physical Fitness,,2,0,,,
ITE111,Introduction to Computing,,3,0,,,
CSP111,Discrete Structure 1,,3,0,,,
GE124,The Contemporary World,,3,0,,,
NSTP2,NSTP2,,3,0,NSTP1,,
PE2,Rythmic Activities,,2,0,PE1,,
ITE122,Computer Programming 1 - PLF/C,,3,1,ITE111,,
CSP122,Discrete Structure 2,,3,0,CSP111,,
CSP123,Networks and Communication,,3,0,ITE111,,
GE135,Purposive Communication,,3,0,,,
PE3,Individual & Dual Sports,,2,0,PE2,,
ILB131,Application Project 1 - Innovation,,2,1,,GE135,
ITE133,Computer Programming 2 -  Java,,3,1,ITE122,,
CSP134,Operating System,,3,0,CSP123,,
IT131,Cloud Computing,,3,0,ITE111,ITE133,
GE211,Mathematics in the Modern World,,3,0,,,
GE212,Komunikasyon sa Akademikong Filipino,,3,0,,,
PE4,Team Sports,,2,0,PE3,,
CSP211,Architecture and Organization,,3,0,CSP211,,
ITE211,Data Structures and Algorithms,,3,1,ITE133,,
ITE212,Application Development and Emerging,,3,0,ITE133,ISP211,
GE224,"Science, Technology and Society",,3,0,,,
GE225,Panitikan,,3,0,,,
CSP222,Modelling and Simulation,,3,0,ITP111,GE211,
CSP223,Object Oriented Programming 1,,3,1,ITE211,ITP224,
CSP224,Algorithms and Complexity,,3,0,ITP211,,
ITE223,Information Management ,,3,0,ITE133,ITP224,
GE236,World Literature,,3,0,,,
CS232,Object Oriented Programming 2,,3,1,CSP223,,
ILB231,Application Project 2-Open Sourcing Learning,,2,1,ILB131,,
CSP236,Programming Languages,,3,0,ITE133,CSP223,
CSP235,Information Assurance Security,,3,0,ITE223,,
MA231,Statistics and Probability,,3,0,CSP222,,
CSP311,Automata Theory and Formal Language,,3,0,CSP236,,
CSP313,Software Engineering 1,,3,0,CSP236,,
CSP312,Social and Professional Issues,,3,0,,,
CSP315A,Thesis A,,3,0,GE135,ILB231,MA231
CS314,Human Computer Interaction,,3,0,ITE111,CSP313,
CSELE1,CS ELECTIVE 1,,2,1,ITELE1,CSP313,
CS314,Compiler Design,,3,0,CSP311,,
GE321,Art Appreciation,,3,0,,,
CS324,Software Engineering 2,,3,0,CSP313,,
CSP315B,Thesis B,,3,0,CSP315A,,
CSELE2,CS Elective 2,,2,1,CSELE1,,
GE331,Rizal's Life and Works,,3,0,,,
CSELE3,CS Elective 3,,2,1,CSELE2,,
OJT331A,On the Job Training A: Pre-Internship (100 hrs),,1,0,,,
OJT331B,On the Job Training B: Internship (400hrs),,3,0,OJT331A,,
CSELE1-M,Pheumatics ,,2,1,CSP224,,
CSELEC2-M,Electro Pheumatics ,,2,1,CSLE1-M,,
CSELE3-M,Hydraulics ,,2,1,CSELE2-M,,
CSELE1-DS,Introduction to Intelligent Systems and Concepts ,,2,1,CSP224,,
CSELE2-DS,Principles of Machine Learning and Data Mining ,,2,1,CSELE1-DS,,
CSELE3-DS,Natural Language Processing ,,2,1,CSELE2-DS,,
CSLE1-10T,"Logic Circuits 2 (Physics , Basic Electronics) ",,2,1,CSP224,,
CSELE2-10T,Embedded System (Arduino) ,,2,1,CSELEC1-10T,,
CSELE3-10T,"System on Chip (Raspberry PI,Banana PI) ",,2,1,CSELE2-,,
